crop,stage,month,site,altitud ,Acrididae,Agromyzidae,Aleyrodidae,Aphididae,Apidae,Apidae ,Arctiidae,Berytidae,Bibionidae ,Braconidae,Calliphoridae,Cantharidae,Cerambycidae ,Cercopidae,Chloropidae,Chrysomelidae,Chrysopidae,Cicadellidae,Coccidae ,Coccinellidae,Coreidae,Coreidae ,Curculionidae,Delphacidae,Diapriidae,Dolichopodidae,Drosophilidae,Elateridae,Empididae,Eulophidae,Eupelmidae,Figitidae,Forficulidae,Formicidae,Gelechiidae,Geometridae,Gryllidae,Halictidae,Halictidae ,Hemerobiidae,Hesperiidae,ichneumonidae,Lampyridae,Largidae,Lonchaeidae,Lonchaeidae ,Lycidae,Lygaeidae,Melolonthidae,Melyridae,Membracidae,Membracidae ,Miridae ,Muscidae,Mutillidae,Mycetophilidae,Nitidulidae,Noctuidae,Pentatomidae,Phoridae,Ptilodactylidae,Pyralidae,Pyrrhocoridae,Reduviidae,Sarcophagidae,Sciaridae,Scutelleridae,Sepsidae,Sphaeroceridae,Staphylinidae ,Syrphidae,Tachinidae,Tenthredinidae,Thripidae,Tiphiidae,Tipulidae,Trigonalidae,Ulidiidae,Vespidae
Golden berry,Produccion,MAY,Bellavista,"2,626",0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
Golden berry,Produccion,MAY,Casablanca,"2,417",7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Golden berry,Produccion,MAY,Piedra Escala,"2,165",0,0,0,52,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Golden berry,Produccion,JUN,Bellavista,"2,626",0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden berry,Produccion,JUN,Casablanca,"2,417",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden berry,Produccion,JUN,Piedra Escala,"2,165",2,0,0,103,0,2,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden berry,Produccion,JUL,Bellavista,"2,626",0,0,0,36,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Golden berry,Produccion,JUL,Casablanca,"2,417",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden berry,Produccion,JUL,Piedra Escala,"2,165",0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden berry,Produccion,AGO,Bellavista,"2,626",0,0,19,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
